,_id,created_at,favorite_count,featch_time,full_text,keyword,lang,quote_count,reply_count,retweet_count,source,tid,tweet_url,user_url
2779,6513db6d0408657d8a04a9b7,Thu Aug 04 02:52:32 +0000 2022,23,2023-09-27,18：蔡英文政府对大陆的政策从来没有模糊：反对九二共识！反对一国两制！坚决捍卫台湾的民主自由、生活方式、国家主权。在会见外宾时，蔡英文也反复强调对抗中共捍卫民主的决心：“台湾人民不会轻易屈服於压力、也不会放弃珍贵的民主生活方式”，不管世界如何变化，唯一不变的是我们对自由和民主的承诺。 https://t.co/1r2rSEhqZs,蔡英文 反对 until:2022-08-31 since:2022-08-01,zh,0,3,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1555023855042715649,https://twitter.com/tulongdao2017v/status/1555023855042715649,https://twitter.com/tulongdao2017v
2780,6513db750408657d8a04a9bd,Sat Jul 02 11:40:13 +0000 2022,0,2023-09-27,香港“回归”25周年，民怨越来越多，共产党承诺的“50年不变”没有被兑现，五大诉求没有被解决，大量民主人士被迫害，香港社会被迫赤化。香港的例子让蔡英文和台湾人民更加坚定地反对中共的渗透。#光復香港時代革命 #StandWithHongKong https://t.co/i3ujChO71D,蔡英文 反对 until:2022-08-01 since:2022-07-02,zh,0,1,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1543197849499885568,https://twitter.com/eelenaato/status/1543197849499885568,https://twitter.com/eelenaato
2781,6513db7e0408657d8a04a9c6,Sun Jun 19 15:26:15 +0000 2022,85,2023-09-27,"今年美国高级代表团访台。

台湾🇹🇼蔡英文总统说：俄罗斯侵略乌克兰显示，民主国家应该强化结盟的力量，共同防御威权国家对于区域和平的干扰和威胁。

美国🇺🇸格雷厄姆参议员说：台湾是我们的盟友。大家应该尽早一起结盟反对“希特勒”，而不是更晚。我们要为价值观而战！

 https://t.co/7zXhJF80Rt",蔡英文 反对 until:2022-07-02 since:2022-06-02,zh,1,3,19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1538543692020998144,https://twitter.com/xiangli001/status/1538543692020998144,https://twitter.com/xiangli001
2782,6513db7e0408657d8a04a9c8,Thu Jun 09 01:38:46 +0000 2022,1,2023-09-27,"为什么中共没有反对邀请蔡英文去演讲? 事关民主的事，不是应该给伟大的习领袖一个机会前来宣扬 ""全过程民主"" 也是民主吗？ https://t.co/Wlc4Cpshsy",蔡英文 反对 until:2022-07-02 since:2022-06-02,zh,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1534711571079122945,https://twitter.com/IMqf4hczGAn2ImR/status/1534711571079122945,https://twitter.com/IMqf4hczGAn2ImR
2783,6513db7e0408657d8a04a9ca,Tue Jun 07 16:40:56 +0000 2022,1,2023-09-27,"@MOFA_Taiwan @iingwen @ZuzanaCaputova @SlovakiaMFA @IvanKorcok @martin_klus @IBrockova @JurajDroba @matisaksk @Pravdask @SlovakiainTWN @office_taipei 就如《慕尼黑交锋—战争边缘》的台词一样：
习近平 普京 与希特勒 一样是“MONSTER”是“魔鬼”！
蔡英文总统或许必须在台湾大选之前作出可能最遭致国民党等亲共政治集团反对的，最违反和平时期选举的惯常策略的，雷霆手段（当然如果蔡总统有的话），进入全盔甲进攻型防卫，因为显然“台湾已经进入战争内圈” https://t.co/7y4MN5Yvvi",蔡英文 反对 until:2022-07-02 since:2022-06-02,zh,0,2,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1534213833186844672,https://twitter.com/LEO56873218/status/1534213833186844672,https://twitter.com/LEO56873218
2784,6513db7e0408657d8a04a9ce,Thu Jun 02 12:00:22 +0000 2022,19,2023-09-27,"2💥冲之鸟岛很敏感 很复杂
🔸地理位置关键 东中国海 第一岛链与第二岛链之间
🔸地缘政治复杂 关系到 日 台 韩 中共 联合国
1️⃣日向联合国申请确认大陆架
2️⃣中共影响联合国不承认是岛
3️⃣台国民党反对 曾派船抗议
4️⃣韩国也反对
🔸冲之鸟岛比钓鱼岛更复杂 更适合离间各国 逼宫蔡英文
在联合国也会有一战 https://t.co/6QY3iFnT7M",蔡英文 反对 until:2022-07-02 since:2022-06-02,zh,1,2,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1532331285808824320,https://twitter.com/nuomt/status/1532331285808824320,https://twitter.com/nuomt
2785,6513db860408657d8a04a9d6,Wed Jun 01 03:30:00 +0000 2022,447,2023-09-27,"日本共同社记者：美国参议员达克沃斯今天会见台湾“总统”蔡英文，她强调美国不止在军事上支持台湾….中方是否认为美国已放弃对台“战略模糊”政策？

赵立坚：台湾是中国的一个省，哪来的什么“总统”....中方对此强烈不满、坚决反对，已向美方提出严正交涉。 https://t.co/954EEZwAIG",蔡英文 反对 until:2022-06-02 since:2022-05-03,zh,46,346,72,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1531840460578168833,https://twitter.com/dw_chinese/status/1531840460578168833,https://twitter.com/dw_chinese
2786,6513db860408657d8a04a9d8,Sat May 28 08:09:00 +0000 2022,13,2023-09-27,"以前和台湾推友对线时（我不认同推上所有反对中国的台湾人都是1450），他们总会怼，你们有言论自由吗？我们可以骂台湾政府，可以骂蔡英文，你们敢公开骂习近平吗

嗯，所以...?

其实我也觉得很悲哀，我不认为人身攻击比自己有权势有地位有影响力的政治人物属于“言论自由”

但是台湾真的有言论自由吗？ https://t.co/o7lCV5GvEd",蔡英文 反对 until:2022-06-02 since:2022-05-03,zh,0,4,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1530461119462375424,https://twitter.com/Fly9981/status/1530461119462375424,https://twitter.com/Fly9981
2787,6513db860408657d8a04a9dc,Mon May 30 01:36:34 +0000 2022,11,2023-09-27,"支持民进党的未必就都是台独，反对民进党的未必就都是统派。

民进党当初是喊过台独，那是为了跟国民党竞争，陈水扁搞过台独，可下场如何

蔡英文总统上台后，一直把中华民国四个字挂在嘴边，这就足以证明了她的立场。

既然国民党能变坏，为啥民进党就不能变好？

事实证明，台湾人民的选择没有错 https://t.co/IBgkTxs2wl",蔡英文 反对 until:2022-06-02 since:2022-05-03,zh,0,5,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1531087138514620416,https://twitter.com/cdzFCwluwkMz1lG/status/1531087138514620416,https://twitter.com/cdzFCwluwkMz1lG
2788,6513db8d0408657d8a04a9e2,Tue Apr 19 00:44:23 +0000 2022,0,2023-09-27,"【回归自然】反美串台严正声明
全日本华人促进中国和平统一协议会，严正声明，美国，极其虚伪，毫无诚信！蔡英文，跪舔美国，奴像十足！不顾中国强烈反对，美国 https://t.co/JSa5aV2e3E",蔡英文 反对 until:2022-05-03 since:2022-04-03,zh,0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1516216103147515910,https://twitter.com/jueluoyawen1/status/1516216103147515910,https://twitter.com/jueluoyawen1
2789,6513db8d0408657d8a04a9e6,Fri Apr 15 05:07:08 +0000 2022,0,2023-09-27,《凤凰早班车》俄国防部再公布美国在乌克兰生物实验室活动；美国会议员抵台访问并见蔡英文 中方:坚决反对任何形式美台官方往来 20220415【下载凤凰秀App，发现更多精彩】 https://t.co/ETg6nflhzy https://t.co/3hn5mpSUxr,蔡英文 反对 until:2022-05-03 since:2022-04-03,zh,0,0,0,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",1514832676057804801,https://twitter.com/SixDNews/status/1514832676057804801,https://twitter.com/SixDNews
2790,6513db960408657d8a04a9f4,Wed Mar 23 08:19:12 +0000 2022,1145,2023-09-27,"在安倍晋三与台湾国总统蔡英文视频通话后，中国表示坚决反对和强烈不满，并向日本提出严正交涉，中国说，“台湾是中国的内政，不允许日本插手""。 https://t.co/u2ZU1cqwgj",蔡英文 反对 until:2022-04-03 since:2022-03-04,zh,20,205,126,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1506546087808561154,https://twitter.com/__Inty__/status/1506546087808561154,https://twitter.com/__Inty__
