node1,node2,node3,node4,node5,rela1,rela2,rela3,rela4
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/t_yucheng,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/yanyun29663182,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/WooSanYon1,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/HartJack97612,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/xxkxxkxxk,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/shanshuishe,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/agy100,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/pengpeiao1,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Air19890604,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Australian7777,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/BiancaGRpri,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/suri56973653,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/luwenhe99,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/ChinaofDaily,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/JenchiehYang,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/renjian77,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/primenumberflt,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/DianaZh53636395,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Eugenewang111,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/LorenWoodward4,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/BTCslongteng,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/QMO8564,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Richard79443751,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/TWMZZF,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/jeong_lee2000,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/auv25656948,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/zhmg2021,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/JOHNZHA60156981,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/ruanjie1,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/JIleChin,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Raymond99116738,1,1,1,1
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/DonnaZhang16,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Taiwan2111,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/Frank35044840,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/AbelVong,1,1,1,0
https://twitter.com/kuomintang,https://twitter.com/huihui25698,https://twitter.com/SabrinaPansy3,https://twitter.com/roclove2020,https://twitter.com/John17Churchill,1,1,1,0
